School,Grade,Name,Gender,Height,Weight,Transfer,Test_Number,Test_Date,Time_Record
Tsinghua University,Freshman,Yanqiang Feng,Female,162.3,51,N,1,2019/12/10,0:04:13
Peking University,Freshman,Quan Chu,Female,154.7,43,N,1,2019/11/28,0:04:47
Fudan University,Senior,Feng Zhou,Female,155.6,47,N,2,2019/11/18,0:04:59
Tsinghua University,Freshman,Peng Wu,Female,162.5,53,N,2,2019/9/14,0:04:48
Fudan University,Sophomore,Mei Xu,Male,177.3,79,N,1,2019/11/10,0:03:44
Fudan University,Senior,Gaomei Lv,Female,147.3,34,N,2,2019/10/16,0:03:44
Shanghai Jiao Tong University,Junior,Xiaoli Wang,Male,171.4,70,N,3,2019/12/20,0:05:12
Tsinghua University,Freshman,Chengquan Chu,Female,161.3,47,N,1,2019/12/10,0:05:02
Fudan University,Senior,Chunli Lv,Female,166.7,56,N,2,2019/11/12,0:03:53
Tsinghua University,Sophomore,Chengli You,Female,164.1,57,N,1,2020/1/8,0:04:39
Peking University,Freshman,Xiaojuan Chu,Male,162.4,58,Y,3,2019/11/29,0:03:42
Tsinghua University,Sophomore,Chengquan Zhang,Female,168.9,54,N,1,2019/12/7,0:04:29
Shanghai Jiao Tong University,Junior,Qiang Lv,Female,152.1,42,N,2,2019/11/3,0:05:21
Peking University,Freshman,Changquan Chu,Female,159.6,45,N,2,2019/12/9,0:04:18
Shanghai Jiao Tong University,Junior,Mei Sun,Female,159.5,50,N,1,2019/11/22,0:05:20
Peking University,Junior,Gaoli Xu,Female,157.3,48,N,2,2019/12/11,0:05:13
Shanghai Jiao Tong University,Freshman,Yanpeng Lv,Male,,65,N,1,2019/11/17,0:04:13
Peking University,Sophomore,Xiaopeng Qin,Male,172.8,,N,1,2019/12/23,0:05:29
Tsinghua University,Freshman,Xiaoli Xu,Female,156.5,43,N,1,2019/9/7,0:04:41
Fudan University,Freshman,Gaofeng Zhao,Female,152.2,43,N,2,2019/10/31,0:04:00
Shanghai Jiao Tong University,Junior,Yanmei Yang,Female,167.7,57,N,2,2019/12/16,0:03:37
Shanghai Jiao Tong University,Sophomore,Gaoli Xu,Female,164.9,53,N,3,2019/10/14,0:05:12
Fudan University,Senior,Chengpeng Zhou,Male,177.1,81,N,1,2019/9/5,0:03:38
Tsinghua University,Freshman,Gaoquan Sun,Female,156.8,42,N,2,2019/11/9,0:05:18
Fudan University,Sophomore,Chengqiang Lv,Female,166.8,53,N,2,2019/11/26,0:04:31
Tsinghua University,Junior,Chunquan Xu,Female,162.1,54,,1,2019/10/27,0:04:40
Fudan University,Freshman,Yanquan Wang,Female,163.5,55,N,1,2019/11/19,0:04:07
Shanghai Jiao Tong University,Sophomore,Feng Han,Male,183.4,82,N,2,2019/10/25,0:05:10
Peking University,Junior,Gaoquan Zhou,Male,166.8,70,N,2,2019/9/5,0:04:24
Fudan University,Freshman,Feng Wang,Male,176.3,74,N,1,2019/9/26,0:03:31
Tsinghua University,Sophomore,Yanli Qin,Male,169.4,74,Y,1,2019/9/3,0:03:32
Peking University,Junior,Qiang You,Female,170,56,N,3,2019/12/31,0:04:27
Tsinghua University,Sophomore,Yanquan Lv,Male,174.6,,N,3,2019/9/26,0:03:59
Fudan University,Senior,Gaopeng Qin,Female,159.4,52,N,3,2019/9/28,0:05:15
Tsinghua University,Senior,Li Xu,Female,161.5,53,N,2,2019/10/29,0:03:40
Shanghai Jiao Tong University,Senior,Changmei Sun,Female,155.3,46,N,3,2019/12/9,0:05:13
Tsinghua University,Sophomore,Changjuan You,Female,150.5,40,N,3,2020/1/5,0:04:52
Tsinghua University,Freshman,Yanli Zhang,Female,165.1,52,N,1,2019/9/13,0:05:05
Fudan University,Junior,Changfeng Lv,Male,175.6,76,N,2,2019/9/11,0:04:35
Peking University,Sophomore,Mei Xu,Female,154.2,39,N,2,2019/11/5,0:04:29
Fudan University,Junior,Yanjuan Lv,Female,159.3,49,,1,2019/9/3,0:03:39
Shanghai Jiao Tong University,Junior,Li Chu,Female,165.2,51,N,2,2019/10/15,0:04:44
Peking University,Senior,Feng Zheng,Female,162.6,49,N,2,2019/11/5,0:04:11
Shanghai Jiao Tong University,Senior,Feng Yang,Female,167,52,,2,2019/10/15,0:03:43
Peking University,Freshman,Xiaopeng Han,Female,164.1,53,N,1,2019/12/18,0:05:20
Shanghai Jiao Tong University,Senior,Gaojuan Zhao,Female,151.5,44,N,1,2019/11/22,0:03:46
Fudan University,Junior,Gaoqiang Zhou,Female,156.8,43,N,1,2019/11/4,0:04:34
Tsinghua University,Sophomore,Yanfeng Han,Male,,,N,1,2019/9/7,0:04:45
Tsinghua University,Senior,Juan Zhao,Female,161.2,47,N,1,2019/9/28,0:04:34
Shanghai Jiao Tong University,Junior,Feng Zhao,Female,159,51,N,3,2019/12/13,0:05:17
Tsinghua University,Junior,Yanli Wang,Male,169.9,67,N,2,2019/12/29,0:05:24
Tsinghua University,Junior,Yanfeng Qian,Male,178.7,75,N,2,2019/11/23,0:05:19
Peking University,Freshman,Changmei Feng,Female,163.8,56,N,3,2019/11/8,0:04:41
Tsinghua University,Sophomore,Xiaoqiang Qin,Female,160.8,54,N,1,2019/12/6,0:05:26
Fudan University,Sophomore,Xiaojuan Chu,Male,,68,N,1,2019/11/3,0:03:48
Peking University,Freshman,Changpeng Zhao,Male,181.3,83,N,2,2019/10/24,0:04:08
Tsinghua University,Senior,Xiaofeng Shi,Female,164.4,55,N,1,2019/11/19,0:03:33
Peking University,Sophomore,Xiaoli Zhou,Female,166.8,55,N,1,2019/10/28,0:05:24
Peking University,Junior,Chengli Zhao,Male,,,,1,2019/10/13,0:03:55
Shanghai Jiao Tong University,Senior,Mei Chen,Female,153.6,,N,2,2019/11/3,0:04:57
Shanghai Jiao Tong University,Senior,Xiaopeng Lv,Female,158.4,47,N,2,2019/10/3,0:05:07
Fudan University,Freshman,Qiang Shi,Female,164.5,52,N,1,2019/12/11,0:04:23
Tsinghua University,Sophomore,Qiang Sun,Female,154.3,40,N,1,2019/12/30,0:04:37
Fudan University,Junior,Xiaojuan Zhao,Female,160.3,49,N,1,2019/9/24,0:05:10
Fudan University,Freshman,Yanqiang Xu,Female,152.4,38,N,1,2019/12/8,0:05:03
Shanghai Jiao Tong University,Senior,Chunpeng Lv,Female,164.1,56,N,1,2019/10/9,0:04:28
Tsinghua University,Sophomore,Xiaomei Shi,Female,157.9,47,N,1,2019/11/30,0:04:09
Tsinghua University,Freshman,Gaoquan Xu,Female,,52,N,1,2019/11/30,0:05:21
Fudan University,Senior,Chunjuan Xu,Female,159.8,47,N,1,2019/10/18,0:05:03
Tsinghua University,Junior,Changjuan Xu,Female,159.6,49,N,1,2019/11/2,0:03:55
Shanghai Jiao Tong University,Freshman,Xiaopeng Zhao,Female,161,53,N,3,2019/9/25,0:05:13
Shanghai Jiao Tong University,Junior,Gaofeng Sun,Female,162.8,48,N,2,2019/11/26,0:04:22
Peking University,Senior,Feng Zhao,Male,167.2,66,N,1,2020/1/3,0:04:56
Shanghai Jiao Tong University,Freshman,Chunli Zhao,Male,180.2,83,N,1,2020/1/7,0:04:33
Tsinghua University,Junior,Yanli Zhang,Female,160.6,47,N,2,2019/10/24,0:03:49
Shanghai Jiao Tong University,Freshman,Peng Zhang,Female,163.1,,N,3,2019/9/23,0:04:31
Peking University,Sophomore,Peng Han,Female,147.8,34,,2,2019/9/19,0:03:32
Shanghai Jiao Tong University,Freshman,Xiaoquan Sun,Female,154.6,40,N,3,2019/11/12,0:04:05
Shanghai Jiao Tong University,Junior,Qiang Sun,Female,160.8,,N,1,2019/9/7,0:04:31
Shanghai Jiao Tong University,Senior,Qiang Shi,Female,157.7,,,1,2019/12/9,0:05:22
Shanghai Jiao Tong University,Sophomore,Chunpeng Shi,Female,152.9,44,N,1,2019/11/30,0:04:23
Tsinghua University,Freshman,Qiang Han,Female,151.8,38,N,2,2019/11/24,0:03:37
Tsinghua University,Senior,Juan You,Female,154,40,N,1,2019/11/12,0:03:40
Peking University,Senior,Changquan Han,Male,173.4,77,N,1,2019/11/4,0:03:56
Tsinghua University,Junior,Xiaofeng You,Female,158.5,45,N,2,2019/12/30,0:05:09
Fudan University,Senior,Juan Zhang,Female,159.9,47,N,2,2019/11/11,0:03:34
Peking University,Senior,Mei Feng,Female,,51,N,3,2019/9/28,0:05:29
Fudan University,Senior,Chengpeng Qian,Male,177.2,73,Y,1,2019/12/19,0:05:18
Peking University,Senior,Chunpeng Qian,Female,161.6,,N,1,2019/11/10,0:04:10
Tsinghua University,Freshman,Gaojuan Qin,Female,,41,N,1,2019/10/7,0:05:04
Shanghai Jiao Tong University,Senior,Gaoli Zhao,Male,186.5,83,N,1,2019/9/7,0:04:14
Fudan University,Sophomore,Changqiang Qian,Male,167.6,64,N,1,2019/10/4,0:04:15
Tsinghua University,Freshman,Li Lv,Female,155.2,44,N,2,2019/9/28,0:05:27
Tsinghua University,Junior,Chengquan Shi,Female,160.8,51,N,2,2019/9/22,0:04:14
Fudan University,Senior,Xiaojuan Qian,Female,160.6,50,N,1,2020/1/1,0:04:45
Tsinghua University,Sophomore,Qiang Zhou,Female,150.5,36,N,1,2019/11/4,0:04:27
Peking University,Freshman,Qiang Zhang,Female,152.7,43,N,1,2019/11/30,0:05:27
Shanghai Jiao Tong University,Freshman,Chunmei Shi,Female,164.9,52,N,1,2019/9/8,0:03:33
Tsinghua University,Freshman,Feng Yang,Female,158.9,44,N,1,2019/9/17,0:05:11
Shanghai Jiao Tong University,Junior,Xiaoli Chu,Female,145.4,34,N,1,2019/11/13,0:03:56
Fudan University,Senior,Quan Xu,Female,157,44,N,2,2019/11/7,0:03:44
Fudan University,Junior,Gaoquan Chu,Female,,51,N,1,2019/11/27,0:03:35
Tsinghua University,Freshman,Juan Zhang,Female,168.6,55,N,1,2019/9/30,0:05:06
Peking University,Senior,Juan You,Male,169.2,69,,1,2019/10/31,0:05:28
Shanghai Jiao Tong University,Freshman,Xiaomei Yang,Female,159.3,49,N,1,2019/9/17,0:04:22
Shanghai Jiao Tong University,Freshman,Xiaofeng Qian,Female,158.5,49,N,1,2019/10/19,0:05:26
Tsinghua University,Junior,Chengpeng You,Male,170.7,70,Y,1,2019/12/5,0:05:16
Tsinghua University,Sophomore,Feng Qian,Female,156.4,43,N,2,2019/11/5,0:05:07
Fudan University,Junior,Chengli Sun,Male,,62,N,3,2019/10/11,0:04:55
Shanghai Jiao Tong University,Freshman,Changmei Lv,Male,172.2,75,N,1,2019/10/6,0:04:15
Tsinghua University,Junior,Yanpeng Han,Female,,44,N,2,2019/10/15,0:03:47
Shanghai Jiao Tong University,Junior,Chunmei Han,Female,153.2,44,N,2,2019/11/8,0:04:50
Shanghai Jiao Tong University,Senior,Juan Qin,Female,156,47,N,1,2019/9/4,0:04:04
Fudan University,Freshman,Xiaoli Lv,Female,152.5,45,N,2,2019/9/11,0:04:17
Tsinghua University,Junior,Chengqiang Zhang,Male,176.1,76,N,2,2019/11/16,0:04:25
Peking University,Junior,Chengpeng Zhao,Female,156,44,N,1,2019/9/2,0:03:53
Tsinghua University,Junior,Chunfeng Zhao,Male,173.4,72,N,1,2019/9/25,0:04:02
Shanghai Jiao Tong University,Senior,Quan Qian,Female,159,50,N,1,2019/9/26,0:05:26
Tsinghua University,Junior,Chengjuan Zhang,Male,168.4,65,N,2,2019/11/30,0:05:00
Tsinghua University,Junior,Gaoquan Shen,Female,158,51,N,2,2019/12/20,0:03:50
Shanghai Jiao Tong University,Junior,Qiang Wang,Female,157.5,48,N,3,2019/12/11,0:04:44
Shanghai Jiao Tong University,Senior,Feng Han,Male,170.1,69,N,2,2019/9/24,0:05:19
Shanghai Jiao Tong University,Senior,Xiaopeng Qian,Female,154.3,46,N,3,2019/12/28,0:04:02
Shanghai Jiao Tong University,Sophomore,Xiaoqiang Feng,Female,157,43,N,2,2019/11/30,0:03:45
Tsinghua University,Senior,Gaoli Wu,Female,155.7,47,,2,2019/9/14,0:04:26
Tsinghua University,Junior,Chengquan Qin,Female,160.7,52,Y,1,2019/10/12,0:03:39
Fudan University,Sophomore,Li Sun,Female,165.1,57,N,2,2019/12/26,0:04:57
Shanghai Jiao Tong University,Senior,Xiaofeng Zhang,Male,176.4,80,N,1,2019/12/25,0:05:03
Shanghai Jiao Tong University,Junior,Quan Zhao,Female,160.6,53,N,2,2019/10/4,0:03:45
Fudan University,Junior,Gaojuan Qian,Female,154.8,44,N,3,2019/10/26,0:03:47
Shanghai Jiao Tong University,Junior,Xiaopeng Sun,Female,161.9,54,N,2,2019/11/4,0:05:09
Tsinghua University,Senior,Yanli Zhang,Female,154.2,41,N,3,2020/1/8,0:03:48
Tsinghua University,Junior,Xiaopeng Zhou,Female,160.2,51,,2,2019/11/15,0:04:57
Tsinghua University,Junior,Gaoqiang Qin,Male,167.1,71,N,2,2019/10/11,0:04:14
Tsinghua University,Sophomore,Li Qin,Male,,76,N,3,2020/1/7,0:05:19
Tsinghua University,Senior,Peng Wang,Male,175.5,73,N,3,2019/10/3,0:05:14
Tsinghua University,Senior,Mei Zheng,Female,161.1,50,N,3,2019/10/28,0:03:42
Tsinghua University,Sophomore,Yanjuan You,Male,,55,N,1,2019/11/23,0:03:50
Tsinghua University,Sophomore,Xiaoqiang Qian,Male,170.5,73,N,3,2019/10/3,0:04:11
Peking University,Junior,Xiaofeng Zhao,Female,159.9,46,N,1,2019/10/17,0:05:20
Shanghai Jiao Tong University,Freshman,Qiang Feng,Male,178.9,80,N,2,2019/12/6,0:04:23
Peking University,Freshman,Chunmei Wang,Female,151.2,43,N,2,2019/12/10,0:04:24
Fudan University,Freshman,Yanjuan Zhao,Female,,53,N,2,2019/10/9,0:04:21
Fudan University,Junior,Xiaojuan Qian,Female,164.7,51,N,2,2019/10/11,0:05:11
Shanghai Jiao Tong University,Junior,Xiaopeng Shen,Female,160.1,53,N,1,2019/10/16,0:03:33
Fudan University,Junior,Chunjuan Zhang,Female,158.9,47,N,2,2019/9/18,0:05:09
Shanghai Jiao Tong University,Junior,Changli Qin,Male,177.3,,N,1,2019/11/21,0:03:57
Tsinghua University,Junior,Li Sun,Female,166.6,54,N,2,2019/9/3,0:04:45
Shanghai Jiao Tong University,Senior,Gaojuan Wang,Male,166.8,70,N,1,2019/12/23,0:03:54
Tsinghua University,Senior,Xiaoqiang Qin,Male,193.9,79,N,2,2019/11/6,0:05:09
Peking University,Senior,Yanmei Qian,Female,160.3,49,,1,2019/12/3,0:05:08
Fudan University,Junior,Xiaojuan Sun,Female,153.9,46,N,2,2019/10/17,0:04:31
Tsinghua University,Senior,Li Zhao,Female,160.9,50,N,3,2019/9/22,0:04:03
Shanghai Jiao Tong University,Senior,Chengqiang Chu,Female,153.9,45,N,1,2020/1/5,0:04:48
Shanghai Jiao Tong University,Senior,Chengmei Shen,Male,175.3,71,N,2,2020/1/7,0:04:58
Tsinghua University,Sophomore,Chunpeng Lv,Male,155.7,51,N,1,2019/11/6,0:05:05
